Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
110,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",449e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=900m, f=900m, g=900m, h=0",,,,,,
111,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",446.3e-3,,,
"Parameters: a=0, b=900m, c=900m, d=0, e=900m, f=900m, g=900m, h=900m",,,,,,
112,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",443.2e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=0, f=0, g=0, h=0",,,,,,
113,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",441.9e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=0, f=0, g=0, h=900m",,,,,,
114,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",438.7e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=0, f=0, g=900m, h=0",,,,,,
115,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",436.1e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=0, f=0, g=900m, h=900m",,,,,,
116,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",433.1e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=0, f=900m, g=0, h=0",,,,,,
117,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",430.9e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=0, f=900m, g=0, h=900m",,,,,,
118,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",427.9e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=0, f=900m, g=900m, h=0",,,,,,
119,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",425.4e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=0, f=900m, g=900m, h=900m",,,,,,
120,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",422.4e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=900m, f=0, g=0, h=0",,,,,,
121,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",420.7e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=900m, f=0, g=0, h=900m",,,,,,
122,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",417.7e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=900m, f=0, g=900m, h=0",,,,,,
123,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",415.2e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=900m, f=0, g=900m, h=900m",,,,,,
124,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",412.1e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=900m, f=900m, g=0, h=0",,,,,,
125,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",410e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=900m, f=900m, g=0, h=900m",,,,,,
126,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",407e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=900m, f=900m, g=900m, h=0",,,,,,
127,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",404.4e-3,,,
"Parameters: a=0, b=900m, c=900m, d=900m, e=900m, f=900m, g=900m, h=900m",,,,,,
128,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",401.4e-3,,,
"Parameters: a=900m, b=0, c=0, d=0, e=0, f=0, g=0, h=0",,,,,,
129,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",418.9e-3,,,
"Parameters: a=900m, b=0, c=0, d=0, e=0, f=0, g=0, h=900m",,,,,,
130,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",415e-3,,,
"Parameters: a=900m, b=0, c=0, d=0, e=0, f=0, g=900m, h=0",,,,,,
