Point,Corner,mc_iteration,Pass/Fail,"value(VT(""/I15/I26<127>/net7"") 8e-09)"
713,C3,713,,877.1e-3
714,C3,714,,876.7e-3
715,C3,715,,877.3e-3
716,C3,716,,877.5e-3
717,C3,717,,876.9e-3
718,C3,718,,877.1e-3
719,C3,719,,877.5e-3
720,C3,720,,877.1e-3
721,C3,721,,876.6e-3
722,C3,722,,876.9e-3
723,C3,723,,877.5e-3
724,C3,724,,877.5e-3
725,C3,725,,877.2e-3
726,C3,726,,876.9e-3
727,C3,727,,877.3e-3
728,C3,728,,877.2e-3
729,C3,729,,876e-3
730,C3,730,,877.3e-3
731,C3,731,,877.1e-3
732,C3,732,,876.7e-3
733,C3,733,,877.4e-3
734,C3,734,,877.5e-3
735,C3,735,,877.1e-3
736,C3,736,,877.2e-3
737,C3,737,,876.8e-3
738,C3,738,,877.2e-3
739,C3,739,,877.5e-3
740,C3,740,,877.5e-3
741,C3,741,,877e-3
742,C3,742,,876.4e-3
743,C3,743,,877.3e-3
744,C3,744,,877.1e-3
745,C3,745,,877.3e-3
746,C3,746,,877.3e-3
747,C3,747,,876.7e-3
748,C3,748,,877e-3
749,C3,749,,877.3e-3
750,C3,750,,877.4e-3
751,C3,751,,877.3e-3
752,C3,752,,876.3e-3
753,C3,753,,877.1e-3
754,C3,754,,877.4e-3
755,C3,755,,877.1e-3
756,C3,756,,877.1e-3
757,C3,757,,877.6e-3
758,C3,758,,877.4e-3
759,C3,759,,876.7e-3
760,C3,760,,877.5e-3
761,C3,761,,877.2e-3
762,C3,762,,876.9e-3
763,C3,763,,877.4e-3
764,C3,764,,877.2e-3
765,C3,765,,876.7e-3
766,C3,766,,877.1e-3
767,C3,767,,877.4e-3
768,C3,768,,877.2e-3
769,C3,769,,876.6e-3
770,C3,770,,877.1e-3
771,C3,771,,877.3e-3
772,C3,772,,877.6e-3
773,C3,773,,877.1e-3
774,C3,774,,876.8e-3
775,C3,775,,877.5e-3
776,C3,776,,877.1e-3
777,C3,777,,875.4e-3
778,C3,778,,877.4e-3
779,C3,779,,876.9e-3
780,C3,780,,876.8e-3
781,C3,781,,877.3e-3
782,C3,782,,877.3e-3
783,C3,783,,877.1e-3
784,C3,784,,876.9e-3
785,C3,785,,877.3e-3
786,C3,786,,877.5e-3
787,C3,787,,877.1e-3
788,C3,788,,876.9e-3
789,C3,789,,877.5e-3
790,C3,790,,877.1e-3
791,C3,791,,876.3e-3
792,C3,792,,877.5e-3
793,C3,793,,877e-3
794,C3,794,,876.6e-3
795,C3,795,,877.3e-3
796,C3,796,,877.3e-3
797,C3,797,,876.9e-3
798,C3,798,,877.1e-3
799,C3,799,,877.5e-3
800,C3,800,,876.4e-3
801,C3,801,,877.3e-3
802,C3,802,,877.5e-3
803,C3,803,,877e-3
804,C3,804,,877.2e-3
805,C3,805,,877.5e-3
806,C3,806,,877.2e-3
807,C3,807,,876.9e-3
808,C3,808,,877.6e-3
809,C3,809,,877.2e-3
810,C3,810,,876.9e-3
811,C3,811,,877.3e-3
812,C3,812,,877.3e-3
813,C3,813,,876.6e-3
814,C3,814,,877.1e-3
815,C3,815,,877.3e-3
816,C3,816,,877.4e-3
817,C3,817,,876.8e-3
818,C3,818,,877.2e-3
819,C3,819,,877.7e-3
820,C3,820,,877.4e-3
821,C3,821,,877.1e-3
822,C3,822,,876.6e-3
823,C3,823,,877.1e-3
824,C3,824,,877.2e-3
825,C3,825,,877.5e-3
826,C3,826,,877.2e-3
827,C3,827,,876.7e-3
828,C3,828,,876.9e-3
829,C3,829,,877.5e-3
830,C3,830,,876e-3
831,C3,831,,877.2e-3
832,C3,832,,877.5e-3
833,C3,833,,877.2e-3
834,C3,834,,876.8e-3
835,C3,835,,877.2e-3
836,C3,836,,877.4e-3
837,C3,837,,876.9e-3
838,C3,838,,877.2e-3
839,C3,839,,876.2e-3
840,C3,840,,876.8e-3
841,C3,841,,877.4e-3
842,C3,842,,877.6e-3
843,C3,843,,877.2e-3
844,C3,844,,876.9e-3
845,C3,845,,877.5e-3
846,C3,846,,877.3e-3
847,C3,847,,876.6e-3
848,C3,848,,877.3e-3
849,C3,849,,877.5e-3
850,C3,850,,877.3e-3
851,C3,851,,877e-3
852,C3,852,,876.6e-3
853,C3,853,,877.3e-3
854,C3,854,,877.5e-3
855,C3,855,,877e-3
856,C3,856,,877.3e-3
857,C3,857,,876.4e-3
858,C3,858,,877e-3
859,C3,859,,877.5e-3
860,C3,860,,877.5e-3
861,C3,861,,877e-3
862,C3,862,,876.8e-3
863,C3,863,,877.4e-3
864,C3,864,,877e-3
865,C3,865,,877.5e-3
866,C3,866,,877.3e-3
867,C3,867,,876.6e-3
868,C3,868,,876.8e-3
869,C3,869,,877.3e-3
870,C3,870,,877.5e-3
871,C3,871,,877.2e-3
872,C3,872,,877.4e-3
873,C3,873,,876.9e-3
874,C3,874,,877.2e-3
875,C3,875,,877.5e-3
876,C3,876,,877.4e-3
877,C3,877,,876.9e-3
878,C3,878,,876.4e-3
879,C3,879,,877.3e-3
880,C3,880,,876e-3
881,C3,881,,877.1e-3
882,C3,882,,876.9e-3
883,C3,883,,877.4e-3
884,C3,884,,877.3e-3
885,C3,885,,876.9e-3
886,C3,886,,877.2e-3
887,C3,887,,877.4e-3
888,C3,888,,876.6e-3
889,C3,889,,877.2e-3
890,C3,890,,877.3e-3
891,C3,891,,877e-3
892,C3,892,,877e-3
893,C3,893,,877.6e-3
894,C3,894,,877.4e-3
895,C3,895,,876.8e-3
896,C3,896,,877.4e-3
897,C3,897,,877.1e-3
898,C3,898,,877.2e-3
899,C3,899,,877.4e-3
900,C3,900,,877.5e-3
901,C3,901,,877e-3
902,C3,902,,876.7e-3
903,C3,903,,877.3e-3
904,C3,904,,876.9e-3
905,C3,905,,877.4e-3
906,C3,906,,877.3e-3
907,C3,907,,876.4e-3
908,C3,908,,876.9e-3
909,C3,909,,877.4e-3
910,C3,910,,877.4e-3
911,C3,911,,877.2e-3
912,C3,912,,876.5e-3
913,C3,913,,877.2e-3
914,C3,914,,877.5e-3
915,C3,915,,877.1e-3
916,C3,916,,877.1e-3
917,C3,917,,877.6e-3
918,C3,918,,877.4e-3
919,C3,919,,876.9e-3
920,C3,920,,877.6e-3
921,C3,921,,877.1e-3
922,C3,922,,876.7e-3
923,C3,923,,877.4e-3
924,C3,924,,877.2e-3
925,C3,925,,876.4e-3
926,C3,926,,877e-3
